step,averageSpeed,vehicleCount,minSpeed,maxSpeed
0,0.0,5,0.0,0.0
1,1.545611105686985,5,1.0800162616185844,2.507441041059792
2,3.001045729997568,5,1.7453184674028308,4.65900747932028
3,4.39473088666331,5,2.876828015875071,6.035820490145124
4,5.946857215180062,5,3.7356915650423614,8.419235067791304
5,7.447713181325234,5,4.58402372924611,9.964539162279104
6,8.81748404726386,5,5.215804942930117,11.76132249846123
7,8.430198057465146,6,0.0,13.759625298506577
8,9.514369633214491,6,2.2343616705853493,14.007815905340577
9,10.232275379370376,6,4.761486970889382,14.050203688495422
10,10.703147811922653,6,7.273892176174559,14.110655707895384
11,11.319514243280302,6,8.950781658128836,13.68219773658807
12,11.412792147185478,6,8.615222189640626,14.133013920724952
13,11.196477721681719,6,7.479896416616646,13.44086925939806
14,9.90047242640762,7,0.0,14.232483094511554
15,9.185943222384509,7,0.04608800033891472,14.443783554960296
16,8.830971163054995,7,0.015031186929147159,14.747599552841178
17,8.029478440623294,7,0.00506113911457565,13.921486052581363
18,8.020360890545831,7,0.0018522271330436713,14.320871289685929
19,8.566832091940773,7,0.15830353664569996,14.39271342284661
20,8.322871762216879,8,0.0,14.46237522988978
21,9.374831140059843,8,0.01285485469448365,14.501784914412164
22,9.505074933539564,8,0.0019605548803455744,13.948435795646414
23,9.090197933127467,8,4.666426359493756E-4,14.157155911090232
24,8.597313008172875,8,1.2504174124032083E-4,14.691952528934248
25,7.723693849453703,8,0.0,14.016277380712891
26,6.886327897399574,8,0.0,14.488214830182747
27,5.226232775603265,9,0.0,14.27784597465235
