step,vehicleId,edgeId,speed
0,bus_east.0,BIL1,0.0
0,bus_west.0,BIR1,0.0
0,car_east.0,CIL1,0.0
0,car_west.0,CIR1,0.0
0,f_0.0,top1,0.0
1,bus_east.0,BIL1,1.1983182372059673
1,bus_west.0,BIR1,1.0800162616185844
1,car_east.0,CIL1,2.507441041059792
1,car_west.0,CIR1,1.399670058488846
1,f_0.0,top1,1.5426099300617353
2,bus_east.0,BIL1,2.2114865431096407
2,bus_west.0,BIR1,1.7453184674028308
2,car_east.0,CIL1,4.65900747932028
2,car_west.0,CIR1,3.444353227247484
2,f_0.0,top1,2.9450629329076037
3,bus_east.0,BIL1,2.988061925489456
3,bus_west.0,BIR1,2.876828015875071
3,car_east.0,CIL1,6.035820490145124
3,car_west.0,CIR1,5.085735168354586
3,f_0.0,top1,4.987208833452314
4,bus_east.0,BIL1,3.793661750480533
4,bus_west.0,BIR1,3.7356915650423614
4,car_east.0,CIL1,8.419235067791304
4,car_west.0,CIR1,7.233689113380388
4,f_0.0,top1,6.552008579205721
5,bus_east.0,BIL1,4.58402372924611
5,bus_west.0,BIR1,4.798166167689487
5,car_east.0,CIL1,9.964539162279104
5,car_west.0,CIR1,9.614920642063954
5,f_0.0,top1,8.276916205347517
6,bus_east.0,BIL1,5.215804942930117
6,bus_west.0,BIR1,5.766648657526821
6,car_east.0,CIL1,11.76132249846123
6,car_west.0,CIR1,11.326079023606145
6,f_0.0,top1,10.01756511379499
7,bus_east.0,BIL1,6.2360227307304745
7,bus_west.0,BIR1,6.4295734972693035
7,car_east.0,CIL1,13.759625298506577
7,car_east.1,CIL1,0.0
7,car_west.0,CIR1,11.8377695318994
7,f_0.0,top1,12.318197286385113
8,bus_east.0,BIL1,6.969341683667154
8,bus_west.0,BIR1,7.243889786023647
8,car_east.0,:J0_2,14.007815905340577
8,car_east.1,CIL1,2.2343616705853493
8,car_west.0,CIR1,12.942284046880237
8,f_0.0,top1,13.688524706789986
9,bus_east.0,BIL1,8.123303435789422
9,bus_west.0,BIR1,7.924681832129136
9,car_east.0,CIL2,14.050203688495422
9,car_east.1,CIL1,4.761486970889382
9,car_west.0,CIR2,12.965635750278167
9,f_0.0,:J7_0,13.568340598640726
10,bus_east.0,BIL1,8.917567500052973
10,bus_west.0,BIR1,8.610451341653244
10,car_east.0,CIL2,14.110655707895384
10,car_east.1,CIL1,7.273892176174559
10,car_west.0,CIR2,11.774334813070752
10,f_0.0,top2,13.53198533268901
11,bus_east.0,BIL1,9.847228200919925
11,bus_west.0,BIR2,9.328042408777401
11,car_east.0,CIL2,13.616863909695859
11,car_east.1,CIL1,8.950781658128836
11,car_west.0,CIR2,12.49197154557173
11,f_0.0,top2,13.68219773658807
12,bus_east.0,BIL2,8.615222189640626
12,bus_west.0,BIR2,10.264792124228551
12,car_east.0,:J1_5,14.133013920724952
12,car_east.1,CIL1,10.953116782568395
12,car_west.0,CIR2,11.213522473277077
12,f_0.0,top2,13.297085392673262
13,bus_east.0,BIL2,9.423215803895145
13,bus_west.0,BIR2,11.166834779921917
13,car_east.0,:J1_5,13.44086925939806
13,car_east.1,CIL1,12.28273343979381
13,car_west.0,CIR2,7.479896416616646
13,f_0.0,top2,13.385316630464741
14,bus_east.0,BIL2,10.302994888434185
14,bus_west.0,BIR2,12.34786664228886
14,car_east.0,WI1,14.004934917536193
14,car_east.1,CIL1,14.232483094511554
14,car_east.2,CIL1,0.0
14,car_west.0,CIR2,4.390994401447494
14,f_0.0,top2,14.02403304063505
15,bus_east.0,BIL2,11.267480988120658
15,bus_west.0,BIR2,13.14507733737118
15,car_east.0,WI1,14.204948582506368
15,car_east.1,:J0_2,14.443783554960296
15,car_east.2,CIL1,1.6212258693762123
15,car_west.0,CIR2,0.04608800033891472
15,f_0.0,top2,9.572998224017931
16,bus_east.0,BIL2,9.975795820857085
16,bus_west.0,BIR2,13.346741590518505
16,car_east.0,WI1,14.701633364922927
16,car_east.1,CIL2,14.747599552841178
16,car_east.2,CIL1,3.9569984012981876
16,car_west.0,CIR2,0.015031186929147159
16,f_0.0,top2,5.072998224017931
17,bus_east.0,BIL2,6.214855343465382
17,bus_west.0,:J8_3,11.735416793255135
17,car_east.0,WI1,13.48634221968856
17,car_east.1,CIL2,13.921486052581363
17,car_east.2,CIL1,5.91799479033798
17,car_west.0,CIR2,0.00506113911457565
17,f_0.0,:J5_0,4.925192745920061
18,bus_east.0,BIL2,2.908150793554882
18,bus_west.0,:J8_3,11.675232302481309
18,car_east.0,WI1,14.320871289685929
18,car_east.1,CIL2,13.839247205424376
18,car_east.2,CIL1,7.292697216174565
18,car_west.0,CIR2,0.0018522271330436713
18,f_0.0,NI1,6.104475199366711
19,bus_east.0,BIL2,0.15830353664569996
19,bus_west.0,SI2,11.71883842506446
19,car_east.0,WI1,14.39271342284661
19,car_east.1,:J1_5,14.295044582885943
19,car_east.2,CIL1,8.833062580320984
19,car_west.0,:J8_0,1.958501260183097
19,f_0.0,NI1,8.611360835638619
20,bus_east.0,BIL2,0.06271388676466728
20,bus_west.0,SI2,12.532766244178637
20,car_east.0,:CR1_7,13.769179878227042
20,car_east.1,WI1,14.46237522988978
20,car_east.2,CIL1,10.69304408770986
20,car_east.3,CIL1,0.0
20,car_west.0,:J8_0,4.333859176156388
20,f_0.0,NI1,10.729035594808659
21,bus_east.0,BIL2,0.01285485469448365
21,bus_west.0,SI2,13.675940735163165
21,car_east.0,ONETOTWO,14.501784914412164
21,car_east.1,WI1,14.472645769072018
21,car_east.2,CIL1,12.695816815760917
21,car_east.3,CIL1,1.3479614577023313
21,car_west.0,:J8_0,6.224052569447362
21,f_0.0,NI1,12.06759200422631
22,bus_east.0,BIL2,0.0019605548803455744
22,bus_west.0,SI2,9.675940735163165
22,car_east.0,ONETOTWO,13.912751340313443
22,car_east.1,WI1,13.948435795646414
22,car_east.2,:J0_2,13.36110112378505
22,car_east.3,CIL1,3.7824578981846573
22,car_west.0,SI2,8.296372009385655
22,f_0.0,NI1,13.061580010957778
23,bus_east.0,BIL2,4.666426359493756E-4
23,bus_west.0,SI2,5.784917013196277
23,car_east.0,ONETOTWO,14.095284620585481
23,car_east.1,WI1,13.995084229730322
23,car_east.2,CIL2,14.157155911090232
23,car_east.3,CIL1,5.639360532956198
23,car_west.0,SI2,9.716181111745813
23,f_0.0,NI1,9.333133403079458
